Date,Country,cdd_sum_avg,cdd_sum_sum,avg_temp,avg_max_temp,avg_min_temp
1/1/00,Puerto Rico,125.1469747,1877.20462,22.93986778,25.9329085,20.56823107
1/1/00,Qatar,27.16011569,407.4017353,17.72831001,21.85252355,13.85795517
1/1/00,Republic of Serbia,0,0,-2.940441282,0.20986919,-6.331073654
1/1/00,Republic of the Congo,175.1317149,78108.74487,24.64051525,29.53239177,21.19256656
1/1/00,Romania,0,0,-4.867146872,-1.981897899,-8.282042875
1/1/00,Russia,0,0,-25.5301901,-22.3700811,-28.92914347
1/1/00,Rwanda,57.34846693,1777.802475,18.87560691,24.49119752,14.09198256
1/1/00,Saudi Arabia,35.21952854,96184.53245,14.95577503,21.22650271,8.818017058
1/1/00,Senegal,232.6989576,60734.42793,26.257377,33.00774472,20.34002976
1/1/00,Sierra Leone,206.663435,20253.01663,25.66310219,30.25230902,22.29325676
1/1/00,Slovakia,0,0,-4.236100464,-1.624769854,-7.32073793
1/1/00,Slovenia,0,0,-2.989227747,1.299216564,-7.043831413
1/1/00,Solomon Islands,214.1686055,7067.56398,25.90866459,27.69688375,24.69668377
1/1/00,Somalia,225.7940042,144959.7507,26.04982805,32.23336401,20.94552884
1/1/00,Somaliland,95.91169029,20812.83679,20.77826439,27.11682785,14.68859732
1/1/00,South Africa,109.4374643,198081.8104,21.14940417,26.7734725,16.4236115
1/1/00,South Korea,0,0,-1.060534633,2.821053055,-5.145319464
1/1/00,South Sudan,283.7447613,232103.2148,28.07240785,34.79855526,22.12124241
1/1/00,Spain,0.017533337,14.88580322,4.151635642,9.029511481,0.24891729
1/1/00,Sri Lanka,158.1648573,13285.84801,24.04065375,27.2614455,21.59902518
1/1/00,Sudan,113.8578362,287832.6099,20.24427599,27.3515193,13.78229138
1/1/00,Suriname,168.022215,31756.19863,24.42007085,28.71622639,22.02220932
1/1/00,Sweden,0,0,-4.630177759,-1.71694014,-7.96357163
1/1/00,Switzerland,0,0,-5.237510425,-1.755181553,-8.459304288
1/1/00,Syria,0.463964663,136.8695755,6.361970597,11.07938648,2.331668783
1/1/00,Taiwan,13.39617703,683.2050285,14.41369134,17.6161703,11.82185386
